table,metric,2026,2027,2028,2029,2030
Token Load,active_users,4050.0,6750.0,10800.0,20250.0,24300.0
Token Load,workplace_daily_tokens,101250000.0,445500000.0,1285200000.0,3685500000.0,5516100000.0
Token Load,workplace_annual_tokens,25008750000.0,110038500000.0,317444400000.0,910318500000.0,1362476700000.0
Token Load,automated_interactions_per_day,1843.5,5530.5,11061.0,16591.5,22122.0
Token Load,contact_center_daily_tokens,46824900.0,140474700.0,280949400.0,421424100.0,561898800.0
Token Load,contact_center_annual_tokens,17091088500.0,51273265500.0,102546531000.0,153819796500.0,205093062000.0
Token Load,total_annual_tokens,42099838500.0,161311765500.0,419990931000.0,1064138296500.0,1567569762000.0
GPU Sizing,weighted_throughput,322.2918531781558,284.0191870739712,254.323499491353,288.69286287089017,343.22324765464117
GPU Sizing,tokens_per_second,3945.478941745389,15117.686825236167,39360.373650472335,99728.0604757085,146908.24730094467
GPU Sizing,required_gpu,35,134,344,691,779
Infrastructure Scenario,active_scenario,hybrid,hybrid,hybrid,hybrid,hybrid
Infrastructure Scenario,construction_start_year,2028,2028,2028,2028,2028
Infrastructure Scenario,construction_flag,0,0,1,0,0
Infrastructure Scenario,required_gpu,35,134,344,691,779
Infrastructure Scenario,owned_gpu,0,0,344,691,779
Infrastructure Scenario,rented_gpu,35,134,0,0,0
Infrastructure Scenario,owned_gpu_increment,0,0,344,347,88
CAPEX,gpu_capex,0.0,0.0,1032000000.0,1041000000.0,264000000.0
CAPEX,gpu_infra_capex,0.0,0.0,1548000000.0,1561500000.0,396000000.0
CAPEX,datacenter_construction_capex,0.0,0.0,2069979200.0000007,0.0,0.0
CAPEX,office_capex,25570000.0,0.0,0.0,0.0,0.0
CAPEX,intangible_capex,307563750.0,0.0,0.0,0.0,0.0
CAPEX,tangible_capex,25570000.0,0.0,3617979200.000001,1561500000.0,396000000.0
CAPEX,total_capex,333133750.0,0.0,3617979200.000001,1561500000.0,396000000.0
Datacenter Construction CAPEX,peak_required_gpu,N/A,N/A,N/A,N/A,N/A
Datacenter Construction CAPEX,target_capacity_mw,3.0,3.0,3.0,3.0,3.0
Datacenter Construction CAPEX,total_component_rub,N/A,N/A,N/A,N/A,N/A
Datacenter Construction CAPEX,datacenter_construction_capex,0.0,0.0,2069979200.0000007,0.0,0.0
Office CAPEX,office_server_capex,2500000.0,0.0,0.0,0.0,0.0
Office CAPEX,employee_laptops_capex,11340000.0,0.0,0.0,0.0,0.0
Office CAPEX,executive_laptops_capex,1750000.0,0.0,0.0,0.0,0.0
Office CAPEX,mfu_capex,480000.0,0.0,0.0,0.0,0.0
Office CAPEX,meeting_rooms_capex,1500000.0,0.0,0.0,0.0,0.0
Office CAPEX,office_furniture_capex,8000000.0,0.0,0.0,0.0,0.0
Office CAPEX,total_office_capex,25570000.0,0.0,0.0,0.0,0.0
Intangible Assets / IP,workplace_ai_ip_value,215294625.0,0.0,0.0,0.0,0.0
Intangible Assets / IP,contact_center_ai_ip_value,92269125.0,0.0,0.0,0.0,0.0
Intangible Assets / IP,total_intangible_assets,307563750.0,0.0,0.0,0.0,0.0
Depreciation & Amortization,gpu_depreciation,0.0,0.0,309600000.0,621900000.0,701100000.0
Depreciation & Amortization,datacenter_depreciation,0.0,0.0,413995840.0000001,413995840.0000001,413995840.0000001
Depreciation & Amortization,office_capex_depreciation,6402190.476190477,6402190.476190477,6402190.476190477,2038857.142857143,2038857.142857143
Depreciation & Amortization,total_ppe_depreciation,6402190.476190477,6402190.476190477,729998030.4761906,1037934697.1428573,1117134697.1428573
Depreciation & Amortization,ip_amortization,61512750.0,61512750.0,61512750.0,61512750.0,61512750.0
Depreciation & Amortization,total_depreciation_and_amortization,67914940.47619048,67914940.47619048,791510780.4761906,1099447447.1428573,1178647447.1428573
Datacenter OPEX,average_owned_gpu,N/A,N/A,N/A,N/A,N/A
Datacenter OPEX,total_load_mw,0.0,0.0,0.5375,1.6171875,2.296875
Datacenter OPEX,electricity_kwh,0.0,0.0,4708500.0,14166562.5,20120625.0
Datacenter OPEX,electricity_price_t,0.0,0.0,0.0,0.0,0.0
Datacenter OPEX,electricity_cost,0.0,0.0,0.0,0.0,0.0
Datacenter OPEX,maintenance_cost,0.0,0.0,180898960.00000006,258973960.00000006,278773960.00000006
Datacenter OPEX,network_cost,0.0,0.0,215.0,646.875,918.75
Datacenter OPEX,land_rent,0.0,0.0,1612500.0,4851562.5,6890625.0
Datacenter OPEX,other_datacenter_opex,0.0,0.0,9125583.750000004,13191308.468750004,14283275.187500004
Datacenter OPEX,total_datacenter_opex,0.0,0.0,191637258.75000006,277017477.84375006,299948778.93750006
Team OPEX,total_core_team_fte,N/A,N/A,N/A,N/A,N/A
Team OPEX,payroll_gross,315450000.0,565286400.0000001,621815040.0000001,671560243.2000002,711853857.7920003
Team OPEX,annual_bonus,63090000.0,113057280.0,124363008.00000001,134312048.64000002,142370771.55840006
Team OPEX,social_contribution_sfr,113562000.0,203503104.0,223853414.39999998,241761687.55200008,256267388.80512002
Team OPEX,annual_core_team_cash_cost,N/A,N/A,N/A,N/A,N/A
Team OPEX,capitalized_core_team_cost,N/A,N/A,N/A,N/A,N/A
